Season;Azimuth;Angle;PctOnModule
Summer;-180;85;[0.001103573918579212, 0.0011096375115384387, 0.0011096375115384387, 0.0011096375115384387, 0.005505781054951521, 0.02593585088804549, 0.07460457403123526, 0.1824669737524583, 0.3025459363951799, 0.39115531640469253, 0.4296201999616793, 0.4351092642265249, 0.40571481363394657, 0.35451873893141617, 0.2753588400131209, 0.1816114121173249, 0.08781105108952839, 0.030308541022367214, 0.007596833218916184, 0.0011096375115384387, 0.0011096375115384387, 0.0011096375115384387, 0.0011096375115384387, 0.0011096375115384387]
Winter;-180;85;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010021559374516913, 0.10919702776735314, 0.2334883642876945, 0.3012165948512175, 0.29938337001157456, 0.3023265497443614, 0.2703300198200606, 0.21185692725031552, 0.1375241245889391, 0.06527663951300854, 0.011970459923446962, 0.00033365752064983364, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-180;90;[0.0010670788621845275, 0.001072941932855871, 0.001072941932855871, 0.001072941932855871, 0.00517383272736327, 0.024960723929869415, 0.07044281996305417, 0.1597211048777426, 0.2746885432292358, 0.35967846364597444, 0.39754955254114355, 0.40374735640250814, 0.3764336197736816, 0.32817228750521027, 0.253708547511527, 0.16533911862289608, 0.07800065552567373, 0.029141624761077373, 0.007194362318438414, 0.001072941932855871, 0.001072941932855871, 0.001072941932855871, 0.001072941932855871, 0.001072941932855871]
Winter;-180;90;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009539620567409757, 0.1053750981437709, 0.22555366274045713, 0.2905325958195822, 0.28806118006308673, 0.2907639088994577, 0.2598670288836199, 0.20349628633824393, 0.13204750296213985, 0.06264022276025288, 0.011318454965227183, 0.0002954994201723746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-135;0;[0.0014848303137210295, 0.0014929887220381782, 0.0014929887220381782, 0.0014929887220381782, 0.01692378917854296, 0.10678669266047341, 0.23993727238469653, 0.35079946154549485, 0.4492065053308653, 0.5217960438267054, 0.546540881696279, 0.5446822341372546, 0.509212973263313, 0.46114632391924415, 0.3808051348085518, 0.28478917153171357, 0.18128702334083682, 0.08293824795911268, 0.021684271495763678, 0.0022057133530984274, 0.0014929887220381782, 0.0014929887220381782, 0.0014929887220381782, 0.0014929887220381782]
Winter;-135;0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008443614010334298, 0.06633960914801205, 0.14631733988627396, 0.20750167901539215, 0.22961024122382903, 0.23591655791295274, 0.21445811363371162, 0.16867856818411858, 0.10956426384837953, 0.051585659633706746, 0.012082585973345703, 0.0006279227246654499, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-135;5;[0.0014832447214188774, 0.0014913944176904097, 0.0014913944176904097, 0.0014913944176904097, 0.009139759014663781, 0.07969730511576471, 0.20662504835121842, 0.3265424443189391, 0.4344660070940434, 0.5163844722816336, 0.5496311786425239, 0.5544190080374477, 0.5239501668355163, 0.4787216605712405, 0.39887427480204574, 0.3011450741713164, 0.1938387600015624, 0.08903463092890697, 0.023411642902401306, 0.00242905174390103, 0.0014913944176904097, 0.0014913944176904097, 0.0014913944176904097, 0.0014913944176904097]
Winter;-135;5;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006348762741674043, 0.05917199759248254, 0.14252022221624763, 0.21001849838994913, 0.23631702992028777, 0.2463670633313344, 0.22683750313232556, 0.18115371141149753, 0.11978352154238468, 0.058053827691976916, 0.01370518639596669, 0.0007655595556892803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-135;10;[0.0014784998257940988, 0.00148662345121055, 0.00148662345121055, 0.00148662345121055, 0.009093092444679414, 0.05453517606584574, 0.17179194448301024, 0.30031491490834544, 0.4173692705171256, 0.5082981355659376, 0.5499346770768722, 0.5613470374926535, 0.5359728331448051, 0.4937887268154174, 0.4148323836220663, 0.31589403261266635, 0.20535430427914622, 0.09466353831279085, 0.025017860181133784, 0.002641558362631874, 0.00148662345121055, 0.00148662345121055, 0.00148662345121055, 0.00148662345121055]
Winter;-135;10;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005051086569266214, 0.051821127750404115, 0.13794910365961255, 0.21146139201617178, 0.24185817701772674, 0.2555674892658106, 0.23804170565521757, 0.1926501422830133, 0.12934050394709556, 0.06419948895500192, 0.015252649929730985, 0.0008980020689507254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
